PDOid,koeppen,landform
PDO-BG-A1177,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1179,"Cfa Temperate, no dry season, hot summer",Plains
PDO-BG-A1182,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-BG-A1185,"Cfa Temperate, no dry season, hot summer",Mid Altitude Plains
PDO-BG-A1190,"Cfa Temperate, no dry season, hot summer",Low Altitude Mountains
PDO-BG-A1297,"Cfa Temperate, no dry season, hot summer",Plains
PDO-BG-A1314,"Dfa Cold, no dry season, hot summer",Plains
PDO-BG-A1344,"Cfa Temperate, no dry season, hot summer",Plains
PDO-BG-A1346,"Dfa Cold, no dry season, hot summer",Plains
PDO-BG-A1347,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1391,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-BG-A1392,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1393,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1394,"Cfa Temperate, no dry season, hot summer",Plains
PDO-BG-A1425,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A1439,"Dfa Cold, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1441,"Dfa Cold, no dry season, hot summer",Plains
PDO-BG-A1472,"BSk Arid, steppe, cold",Low Altitude Mountains
PDO-BG-A1473,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-BG-A1474,"Cfa Temperate, no dry season, hot summer",Plains
PDO-BG-A1477,"Dfa Cold, no dry season, hot summer",Lowlands
PDO-BG-A1487,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-BG-A1489,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-BG-A1494,"Cfa Temperate, no dry season, hot summer",Plains
PDO-CY-A1622,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-CY-A1623,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-CY-A1624,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-CY-A1625,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-CY-A1626,"Csa Temperate, dry summer, hot summer",Hills
PDO-CY-A1627,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-CY-A1628,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-CZ-A0888,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-CZ-A0890,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-CZ-A0892,"Dfb Cold, no dry season, warm summer",Mid Altitude Plains
PDO-CZ-A0894,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-CZ-A0895,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-CZ-A0896,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-CZ-A0897,"Dfb Cold, no dry season, warm summer",Plains
PDO-CZ-A0899,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-CZ-A1086,"Dfb Cold, no dry season, warm summer",Mid Altitude Plains
PDO-CZ-A1089,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-CZ-A1321,"Dfb Cold, no dry season, warm summer",Plains
PDO-DE-02081,"Cfb Temperate, no dry season, warm summer",Rugged Lowlands
PDO-DE-02082,"Cfb Temperate, no dry season, warm summer",Rugged Lowlands
PDO-DE-02083,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-DE-02363,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-DE-02403,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-DE-A0867,"Cfb Temperate, no dry season, warm summer",Hills
PDO-DE-A1264,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-DE-A1267,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-DE-A1268,"Cfb Temperate, no dry season, warm summer",Plains
PDO-DE-A1269,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-DE-A1270,"Cfb Temperate, no dry season, warm summer",Hills
PDO-DE-A1271,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-DE-A1272,"Cfb Temperate, no dry season, warm summer",Plains
PDO-DE-A1273,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-DE-A1274,"Cfb Temperate, no dry season, warm summer",Plains
PDO-DE-A1275,"Dfb Cold, no dry season, warm summer",Plains
PDO-DE-A1276,"Dfb Cold, no dry season, warm summer",Very Low Plateaus
PDO-DE-A1277,"Dfb Cold, no dry season, warm summer",Plains
PDO-DE-N1822,"Cfb Temperate, no dry season, warm summer",Hills
PDO-DK-N1635,"Dfb Cold, no dry season, warm summer",Plains
PDO-ES-01895,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-02085,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-02228,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-02348,"BSk Arid, steppe, cold",Mid Altitude Mountains 
PDO-ES-02485,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-02592,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0043,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0044,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0045,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0046,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0047,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0048,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0049,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0050,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0051,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0052,"BSk Arid, steppe, cold",Mid Altitude Plains
PDO-ES-A0053,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0054,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0055,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0056,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0057,"BSk Arid, steppe, cold",Low Altitude Mountains
PDO-ES-A0058,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0060,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0109,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0111,"BSh Arid, steppe, hot",Low Altitude Mountains
PDO-ES-A0112,"BSh Arid, steppe, hot",Low Altitude Mountains
PDO-ES-A0113,"BWh Arid, desert, hot",Lowlands
PDO-ES-A0114,"Csb Temperate, dry summer, warm summer",Mid Altitude Mountains 
PDO-ES-A0115,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-ES-A0117,"Cfb Temperate, no dry season, warm summer",Low Plateaus
PDO-ES-A0119,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-ES-A0127,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-ES-A0180,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0182,"Cfb Temperate, no dry season, warm summer",Low Plateaus
PDO-ES-A0183,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-ES-A0184,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-ES-A0247,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0510,"Csb Temperate, dry summer, warm summer",Mid Altitude Mountains 
PDO-ES-A0534,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-ES-A0536,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0606,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0613,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0614,"Csa Temperate, dry summer, hot summer",Low Plateaus
PDO-ES-A0615,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-ES-A0622,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0626,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0631,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-ES-A0634,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0646,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0732,"Cfb Temperate, no dry season, warm summer",Hills
PDO-ES-A0735,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-ES-A0741,"Cfb Temperate, no dry season, warm summer",Hills
PDO-ES-A0746,"Cfb Temperate, no dry season, warm summer",Hills
PDO-ES-A0747,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0872,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0874,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0882,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0886,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0889,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-A0940,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0941,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A0975,"BSh Arid, steppe, hot",Mid Altitude Mountains 
PDO-ES-A0980,"Csb Temperate, dry summer, warm summer",Mid Altitude Mountains 
PDO-ES-A1038,"BSk Arid, steppe, cold",Plains
PDO-ES-A1040,"Csb Temperate, dry summer, warm summer",High Altitude Plateaus
PDO-ES-A1056,"BSk Arid, steppe, cold",Plains
PDO-ES-A1114,"Csb Temperate, dry summer, warm summer",Low Altitude Mountains
PDO-ES-A1119,"Csb Temperate, dry summer, warm summer",Lowlands
PDO-ES-A1123,"Csb Temperate, dry summer, warm summer",Hills
PDO-ES-A1128,"Csb Temperate, dry summer, warm summer",Low Plateaus
PDO-ES-A1132,"BSk Arid, steppe, cold",Low Altitude Mountains
PDO-ES-A1250,"BWh Arid, desert, hot",Low Altitude Mountains
PDO-ES-A1295,"Csa Temperate, dry summer, hot summer",Mid Altitude Plains
PDO-ES-A1422,"BSk Arid, steppe, cold",Low Altitude Mountains
PDO-ES-A1423,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-ES-A1475,"Csa Temperate, dry summer, hot summer",Mid Altitude Mountains 
PDO-ES-A1478,"Csa Temperate, dry summer, hot summer",Plains
PDO-ES-A1479,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-ES-A1480,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-ES-A1481,"Csa Temperate, dry summer, hot summer",Low Altitude Mountains
PDO-ES-A1482,"Csa Temperate, dry summer, hot summer",Plains
PDO-ES-A1483,"Csa Temperate, dry summer, hot summer",Plains
PDO-ES-A1485,"Csa Temperate, dry summer, hot summer",Plains
PDO-ES-A1511,"BWh Arid, desert, hot",Hills
PDO-ES-A1522,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A1523,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-ES-A1525,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-A1526,"BSk Arid, steppe, cold",Low Altitude Mountains
PDO-ES-A1548,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-ES-A1549,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-ES-A1550,"Csa Temperate, dry summer, hot summer",Hills
PDO-ES-A1551,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-ES-A1555,"BSk Arid, steppe, cold",Lowlands
PDO-ES-A1556,"BSk Arid, steppe, cold",Very Low Plateaus
PDO-ES-A1557,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-ES-A1560,"BSk Arid, steppe, cold",Hills
PDO-ES-N1634,"BSk Arid, steppe, cold",High Altitude Plains
PDO-ES-N1637,"BSk Arid, steppe, cold",Low Plateaus
PDO-ES-N1665,"BSk Arid, steppe, cold",Low Plateaus
PDO-FR-02084,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-02113,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-02175,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0143,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0144,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0145,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0146,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0147,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0148,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0149,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0150,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0151,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0152,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0153,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0154,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0155,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0156,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0157,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0158,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0159,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0160,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0161,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0162,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0163,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0164,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0165,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0166,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0167,"Cfb Temperate, no dry season, warm summer",Low Plateaus
PDO-FR-A0168,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0169,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0170,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0171,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0172,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0173,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0174,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0175,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0176,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0177,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0178,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0179,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0185,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0186,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0187,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0188,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0189,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0190,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0191,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0192,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0193,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0194,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0195,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0196,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-FR-A0197,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0198,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0199,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0200,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0201,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0202,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0203,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0257,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0259,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0260,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0271,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0272,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0273,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0274,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0275,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0276,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0298,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0299,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0300,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0301,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0302,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0303,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0304,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0306,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0307,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0308,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0309,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0310,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0311,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0313,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0314,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0315,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0316,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0317,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0319,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0320,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0321,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0322,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0323,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0324,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0325,"Csa Temperate, dry summer, hot summer",Plains
PDO-FR-A0326,"Cfa Temperate, no dry season, hot summer",Very Low Plateaus
PDO-FR-A0328,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0329,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0330,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0331,"Csa Temperate, dry summer, hot summer",Lowlands
PDO-FR-A0333,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0334,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0335,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0336,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0338,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0339,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0340,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0341,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0343,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0344,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0345,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0346,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0348,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0349,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0372,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0373,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0374,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0375,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0376,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0377,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0378,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0379,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0381,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0383,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0384,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0385,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0386,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0387,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0388,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0389,"Cfa Temperate, no dry season, hot summer",Plains
PDO-FR-A0390,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0391,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0392,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0393,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0394,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0395,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0396,"Csa Temperate, dry summer, hot summer",Hills
PDO-FR-A0397,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0398,"Cfb Temperate, no dry season, warm summer",Hills
PDO-FR-A0399,"Csa Temperate, dry summer, hot summer",Very Low Plateaus
PDO-FR-A0400,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0401,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0402,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0403,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0404,"Cfb Temperate, no dry season, warm summer",Very Low Plateaus
PDO-FR-A0405,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0406,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0407,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0408,"Cfb Temperate, no dry season, warm summer",Lowlands
PDO-FR-A0409,"Cfb Temperate, no dry season, warm summer",Mid Altitude Plains
PDO-FR-A0410,"Cfb Temperate, no dry season, warm summer",Plains
PDO-FR-A0411,"Cfb Temperate, no dry season, warm summer",Low Altitude Mountains
PDO-FR-A0412,"Dfb Cold, no dry season, warm summer",Low Altitude Mountains
